# t theta_S theta_L C
288 0.14057177 0.78539816 0.79920413
289 0.14181178 0.78539816 0.79994883
290 0.12955865 0.78539816 0.79253625
291 0.13964829 0.78539816 0.79864872
292 0.13356755 0.78539816 0.79497461
293 0.14026987 0.78539816 0.79902263
294 0.14123592 0.78539816 0.79960314
295 0.14060252 0.78539816 0.79922261
296 0.14877071 0.78539816 0.80410526
297 0.15598383 0.78539816 0.80837241
298 0.14269340 0.78539816 0.80047755
299 0.14534898 0.78539816 0.80206639
300 0.17296156 0.78539816 0.81824974
301 0.15122056 0.78539816 0.80555925
302 0.13703731 0.78539816 0.79707472
303 0.13012593 0.78539816 0.79288207
304 0.12493511 0.78539816 0.78970824
305 0.11402299 0.78539816 0.78296696
306 0.13362169 0.78539816 0.79500744
307 0.10797315 0.78539816 0.77918927
308 0.11990133 0.78539816 0.78661011
309 0.12080052 0.78539816 0.78716500
310 0.13158931 0.78539816 0.79377296
311 0.12759374 0.78539816 0.79133647
312 0.14545551 0.78539816 0.80213000
313 0.13864367 0.78539816 0.79804374
314 0.14096304 0.78539816 0.79943924
315 0.14725550 0.78539816 0.80320357
316 0.16009296 0.78539816 0.81078451
317 0.15156728 0.78539816 0.80576464
318 0.16274868 0.78539816 0.81233616
319 0.17905521 0.78539816 0.82173753
320 0.16006336 0.78539816 0.81076718
321 0.16682953 0.78539816 0.81470930
322 0.15616036 0.78539816 0.80847632
323 0.13933031 0.78539816 0.79845732
324 0.16284546 0.78539816 0.81239260
325 0.14075611 0.78539816 0.79931491
326 0.12328728 0.78539816 0.78869625
327 0.09421576 0.78539816 0.77049283
328 0.07063015 0.78539816 0.75524531
329 0.07459297 0.78539816 0.75783678
330 0.07041990 0.78539816 0.75510749
331 0.06600604 0.78539816 0.75220642
332 0.07376511 0.78539816 0.75729639
333 0.07328077 0.78539816 0.75697999
334 0.08242601 0.78539816 0.76292410
335 0.07615926 0.78539816 0.75885777
336 0.06657558 0.78539816 0.75258158
337 0.10347731 0.78539816 0.77636347
338 0.07075525 0.78539816 0.75532731
339 0.10588557 0.78539816 0.77787910
340 0.11536358 0.78539816 0.78380019
341 0.14135842 0.78539816 0.79967670
342 0.12789205 0.78539816 0.79151882
343 0.14766004 0.78539816 0.80344449
344 0.12972481 0.78539816 0.79263757
345 0.14289452 0.78539816 0.80059808
346 0.15130154 0.78539816 0.80560723
347 0.15050726 0.78539816 0.80513641
348 0.16644435 0.78539816 0.81448588
349 0.17510795 0.78539816 0.81948173
350 0.16549415 0.78539816 0.81393423
351 0.17121208 0.78539816 0.81724277
352 0.17600944 0.78539816 0.81999804
353 0.18323401 0.78539816 0.82411171
354 0.20553258 0.78539816 0.83653630
355 0.20001457 0.78539816 0.83350020
356 0.19888519 0.78539816 0.83287567
357 0.20046472 0.78539816 0.83374883
358 0.20142096 0.78539816 0.83427644
359 0.17454553 0.78539816 0.81915928
360 0.19377027 0.78539816 0.83003388
361 0.19645528 0.78539816 0.83152835
362 0.21288268 0.78539816 0.84054088
363 0.21263616 0.78539816 0.84040730
364 0.20056156 0.78539816 0.83380230
365 0.21728791 0.78539816 0.84291924
366 0.19946588 0.78539816 0.83319692
367 0.19097412 0.78539816 0.82847119
368 0.16028634 0.78539816 0.81089768
369 0.13635726 0.78539816 0.79666386
370 0.15986679 0.78539816 0.81065210
371 0.16391430 0.78539816 0.81301538
372 0.13944797 0.78539816 0.79852815
373 0.13327614 0.78539816 0.79479779
374 0.14885026 0.78539816 0.80415255
375 0.15906974 0.78539816 0.81018515
376 0.15690605 0.78539816 0.80891495
377 0.16845301 0.78539816 0.81564963
378 0.17094647 0.78539816 0.81708967
379 0.17071049 0.78539816 0.81695361
380 0.18715068 0.78539816 0.82632389
381 0.14941731 0.78539816 0.80448949
382 0.15606343 0.78539816 0.80841927
383 0.14041015 0.78539816 0.79910697
384 0.12743199 0.78539816 0.79123757
385 0.11620533 0.78539816 0.78432265
386 0.12730550 0.78539816 0.79116022
387 0.12456989 0.78539816 0.78948413
388 0.14892215 0.78539816 0.80419528
389 0.11790845 0.78539816 0.78537805
390 0.13419611 0.78539816 0.79535576
391 0.15521015 0.78539816 0.80791673
392 0.16012363 0.78539816 0.81080246
393 0.17269820 0.78539816 0.81809831
394 0.17349876 0.78539816 0.81855844
395 0.19977430 0.78539816 0.83336743
396 0.19643496 0.78539816 0.83151707
397 0.20208705 0.78539816 0.83464350
398 0.17716752 0.78539816 0.82066034
399 0.16793945 0.78539816 0.81535240
400 0.19832943 0.78539816 0.83256795
401 0.18802142 0.78539816 0.82681398
402 0.18461664 0.78539816 0.82489408
403 0.18853965 0.78539816 0.82710536
404 0.17894619 0.78539816 0.82167540
405 0.17301841 0.78539816 0.81828241
406 0.16961219 0.78539816 0.81631972
407 0.16501831 0.78539816 0.81365769
408 0.14291099 0.78539816 0.80060795
409 0.14479815 0.78539816 0.80173729
410 0.12509316 0.78539816 0.78980519
411 0.10894490 0.78539816 0.77979799
412 0.08720929 0.78539816 0.76600769
413 0.09101186 0.78539816 0.76844656
414 0.07765251 0.78539816 0.75982940
415 0.06197793 0.78539816 0.74954609
416 0.03653007 0.78539816 0.73245995
417 0.02933231 0.78539816 0.72754071
418 0.02361451 0.78539816 0.72360606
419 0.01668866 0.78539816 0.71880843
420 0.02628234 0.78539816 0.72544485
421 0.02186206 0.78539816 0.72239539
422 0.04254731 0.78539816 0.73654326
423 0.04499742 0.78539816 0.73819829
424 0.07502966 0.78539816 0.75812162
425 0.05644578 0.78539816 0.74587262
426 0.06751350 0.78539816 0.75319887
427 0.05991444 0.78539816 0.74817856
428 0.06005988 0.78539816 0.74827505
429 0.05680422 0.78539816 0.74611132
430 0.04140638 0.78539816 0.73577107
431 0.07142309 0.78539816 0.75576480
432 0.07197589 0.78539816 0.75612668
433 0.06790238 0.78539816 0.75345462
434 0.06359449 0.78539816 0.75061519
435 0.07284002 0.78539816 0.75669191
436 0.08426413 0.78539816 0.76411113
437 0.09919164 0.78539816 0.77365515
438 0.09225597 0.78539816 0.76924209
439 0.08727526 0.78539816 0.76605010
440 0.09494383 0.78539816 0.77095674
441 0.12751404 0.78539816 0.79128774
442 0.14677224 0.78539816 0.80291559
443 0.15280575 0.78539816 0.80649749
444 0.14153407 0.78539816 0.79978216
445 0.14170796 0.78539816 0.79988653
446 0.15093804 0.78539816 0.80539182
447 0.17162980 0.78539816 0.81748343
448 0.20600301 0.78539816 0.83679397
449 0.20515222 0.78539816 0.83632784
450 0.20504553 0.78539816 0.83626935
451 0.19953350 0.78539816 0.83323431
452 0.20305749 0.78539816 0.83517761
453 0.20379730 0.78539816 0.83558427
454 0.17565735 0.78539816 0.81979647
455 0.18077917 0.78539816 0.82271874
456 0.17307773 0.78539816 0.81831651
457 0.16727278 0.78539816 0.81496624
458 0.15969413 0.78539816 0.81055099
459 0.16193907 0.78539816 0.81186374
460 0.16318877 0.78539816 0.81259273
461 0.14788978 0.78539816 0.80358125
462 0.17403958 0.78539816 0.81886898
463 0.16161060 0.78539816 0.81167191
464 0.17188530 0.78539816 0.81763056
465 0.15287337 0.78539816 0.80653747
466 0.15393492 0.78539816 0.80716458
467 0.16992948 0.78539816 0.81650294
468 0.16457212 0.78539816 0.81339822
469 0.17977091 0.78539816 0.82214518
470 0.19653841 0.78539816 0.83157453
471 0.19909167 0.78539816 0.83298993
472 0.18331211 0.78539816 0.82415595
473 0.16454566 0.78539816 0.81338283
474 0.18296758 0.78539816 0.82396077
475 0.18817739 0.78539816 0.82690169
476 0.18037044 0.78539816 0.82248633
477 0.19416136 0.78539816 0.83025193
478 0.17278527 0.78539816 0.81814838
479 0.18247103 0.78539816 0.82367930
480 0.19242862 0.78539816 0.82928488
481 0.21597920 0.78539816 0.84221438
482 0.20650007 0.78539816 0.83706601
483 0.21411011 0.78539816 0.84120520
484 0.20980304 0.78539816 0.83886851
485 0.20177467 0.78539816 0.83447140
