# t theta_S theta_L C
518 2.33566649 4.67879633 -0.69780859
519 2.33489962 4.68479633 -0.70263959
520 2.33989527 4.69079633 -0.70335387
521 2.33122359 4.69679633 -0.71370701
522 2.32285378 4.70279633 -0.72369823
523 2.31713948 4.70879633 -0.73173263
524 2.32183593 4.71479633 -0.73262049
525 2.29690283 4.72079633 -0.75332088
526 2.31201509 4.72679633 -0.74729698
527 2.32661752 4.73279633 -0.74155317
528 2.29698672 4.73879633 -0.76498193
529 2.31109912 4.74479633 -0.75973201
530 2.30504272 4.75079633 -0.76751612
531 2.29368069 4.75679633 -0.77852946
532 2.25892485 4.76279633 -0.80345458
533 2.23309548 4.76879633 -0.82199455
534 2.19556471 4.77479633 -0.84599860
535 2.18097085 4.78079633 -0.85679877
536 2.15469242 4.78679633 -0.87299398
537 2.17153450 4.79279633 -0.86765475
538 2.17941139 4.79879633 -0.86672010
539 2.13946521 4.80479633 -0.88871507
540 2.15789875 4.81079633 -0.88294624
541 2.15803759 4.81679633 -0.88568272
542 2.14692707 4.82279633 -0.89349695
543 2.17363656 4.82879633 -0.88400602
544 2.18047710 4.83479633 -0.88361277
545 2.18433445 4.84079633 -0.88461397
546 2.19087106 4.84679633 -0.88436361
547 2.18158098 4.85279633 -0.89139735
548 2.18639066 4.85879633 -0.89193620
549 2.19802055 4.86479633 -0.88937646
550 2.20682470 4.87079633 -0.88809097
551 2.20009900 4.87679633 -0.89386850
552 2.21078307 4.88279633 -0.89175869
553 2.24136851 4.88879633 -0.88036513
554 2.23278568 4.89479633 -0.88718787
555 2.25393159 4.90079633 -0.88009793
556 2.27448713 4.90679633 -0.87309408
557 2.29925862 4.91279633 -0.86378872
558 2.32054240 4.91879633 -0.85598735
559 2.32621923 4.92479633 -0.85615438
560 2.32785852 4.93079633 -0.85839950
561 2.34199489 4.93679633 -0.85419732
562 2.33835698 4.94279633 -0.85916879
563 2.37030813 4.94879633 -0.84560199
564 2.37682510 4.95479633 -0.84532591
565 2.37058451 4.96079633 -0.85180196
566 2.34890103 4.96679633 -0.86597611
567 2.36998812 4.97279633 -0.85833301
568 2.39108985 4.97879633 -0.85048684
569 2.37643355 4.98479633 -0.86116976
570 2.39650580 4.99079633 -0.85393156
571 2.41075755 4.99679633 -0.84960845
572 2.42439126 5.00279633 -0.84555761
573 2.43811454 5.00879633 -0.84140910
574 2.43030454 5.01479633 -0.84879153
575 2.42930570 5.02079633 -0.85247119
576 2.42162375 5.02679633 -0.85954375
577 2.45303048 5.03279633 -0.84628333
578 2.45355233 5.03879633 -0.84918900
579 2.47149755 5.04479633 -0.84282043
580 2.49049494 5.05079633 -0.83575431
581 2.48740644 5.05679633 -0.84071025
582 2.46655026 5.06279633 -0.85494756
583 2.49240594 5.06879633 -0.84448029
584 2.50369595 5.07479633 -0.84163522
585 2.50021353 5.08079633 -0.84671826
586 2.50017744 5.08679633 -0.84991426
587 2.47310005 5.09279633 -0.86687535
588 2.46377491 5.09879633 -0.87441322
589 2.44959688 5.10479633 -0.88402457
590 2.45574341 5.11079633 -0.88395606
591 2.46452506 5.11679633 -0.88265203
592 2.45672323 5.12279633 -0.88905499
593 2.46189153 5.12879633 -0.88943543
594 2.42718723 5.13479633 -0.90729791
595 2.43184249 5.14079633 -0.90786254
596 2.40720148 5.14679633 -0.92028118
597 2.40242094 5.15279633 -0.92444558
598 2.38694038 5.15879633 -0.93242252
599 2.41910093 5.16479633 -0.92265092
600 2.42070151 5.17079633 -0.92433856
601 2.44330963 5.17679633 -0.91787416
602 2.43491274 5.18279633 -0.92349256
603 2.45177264 5.18879633 -0.91927215
604 2.44219063 5.19479633 -0.92529373
605 2.46019025 5.20079633 -0.92067635
606 2.49816826 5.20679633 -0.90772591
607 2.49121159 5.21279633 -0.91308571
608 2.48463942 5.21879633 -0.91813994
609 2.48653109 5.22479633 -0.91976014
610 2.51622720 5.23079633 -0.91020253
611 2.53580236 5.23679633 -0.90449650
612 2.54088608 5.24279633 -0.90488689
613 2.53304846 5.24879633 -0.91069008
614 2.52119497 5.25479633 -0.91791966
615 2.51802756 5.26079633 -0.92151836
616 2.53339048 5.26679633 -0.91784207
617 2.52729767 5.27279633 -0.92257503
618 2.53739116 5.27879633 -0.92098797
619 2.54054967 5.28479633 -0.92209126
620 2.54888489 5.29079633 -0.92118509
621 2.55701946 5.29679633 -0.92035237
622 2.54653173 5.30279633 -0.92667518
623 2.54044842 5.30879633 -0.93114909
624 2.55079919 5.31479633 -0.92955382
625 2.53971647 5.32079633 -0.93571606
626 2.55505708 5.32679633 -0.93238035
627 2.52199042 5.33279633 -0.94578711
628 2.52154563 5.33879633 -0.94786064
629 2.52020087 5.34479633 -0.95017572
630 2.52184174 5.35079633 -0.95152549
631 2.51548181 5.35679633 -0.95525426
632 2.51840539 5.36279633 -0.95615970
633 2.54489368 5.36879633 -0.94995953
634 2.55852796 5.37479633 -0.94754713
635 2.53723567 5.38079633 -0.95591622
636 2.52039488 5.38679633 -0.96237326
637 2.53808774 5.39279633 -0.95913023
638 2.55818821 5.39879633 -0.95504507
639 2.56780921 5.40479633 -0.95396533
640 2.58142364 5.41079633 -0.95165400
